,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
11,cisTopic,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.1651184524275047,0.0500001906562198,0.1512161398510676,0.0444827390571507,-0.0574692610543175
12,PeakVI,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.2411139375813204,0.0940210609092008,0.2195338120066662,0.0843452277081181,-0.1051743004039181
13,SCALE,H3K9me3,PairedTag_Zhu_2021,1000,raw,0.1903835154661396,0.0649880232459078,0.1796812180040611,0.0577927714713932,-0.1238180318650035
14,Chromscape_LSI,H3K9me3,PairedTag_Zhu_2021,50,raw,0.3161157224563941,0.1256521419368251,0.3269770922964701,0.1250355785962249,-0.1043766813030666
15,Chromscape_PCA,H3K9me3,PairedTag_Zhu_2021,50,raw,0.050990012916371,0.0186119524718062,0.0396517869539632,0.0149960100482517,-0.1537277129415643
16,Signac,H3K9me3,PairedTag_Zhu_2021,50,raw,0.3007376580025568,0.084644224512328,0.3251603872766169,0.0851054933941615,-0.1777446965332445
17,SnapATAC,H3K9me3,PairedTag_Zhu_2021,50,raw,0.2201302386121258,0.0753785676760248,0.2250964880103886,0.0812034301501217,-0.0996375571230522
18,cisTopic,H3K9me3,PairedTag_Zhu_2021,50,raw,0.2578174655994273,0.0955570159988498,0.2435131908198694,0.0834912670056824,-0.0537464130994064
19,PeakVI,H3K9me3,PairedTag_Zhu_2021,50,raw,0.1841710266375062,0.0752587274515573,0.1670116817813358,0.0613097630854219,-0.0681427648770548
20,SCALE,H3K9me3,PairedTag_Zhu_2021,50,raw,0.2162777661159514,0.0801771195948585,0.1992427071666367,0.0699419653785513,-0.0989651577864234
