,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
177,Signac,249,0.03,0.0470910617421516,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
178,SnapATAC,249,0.03,0.0834861604413801,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
179,cisTopic,249,0.03,0.0725686948178068,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
180,NMF,249,0.03,0.074917202528805,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
181,TFIDF-NMF,249,0.03,0.0826968761365307,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
182,Chromscape_LSI,415,0.05,0.1213005199990714,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
183,Chromscape_PCA,415,0.05,0.0764282563781136,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
184,Signac,415,0.05,0.0733071012373192,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
185,SnapATAC,415,0.05,0.125731538872252,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
186,cisTopic,415,0.05,0.1118645100633748,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
187,NMF,415,0.05,0.111963170601481,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
188,TFIDF-NMF,415,0.05,0.1238012744620098,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
189,Chromscape_LSI,830,0.1,0.2046183288065557,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
190,Chromscape_PCA,830,0.1,0.134866489077698,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
191,Signac,830,0.1,0.1349361318104789,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
192,SnapATAC,830,0.1,0.2132559138287253,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
193,cisTopic,830,0.1,0.1955972734870116,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
194,NMF,830,0.1,0.1895479316108364,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
195,TFIDF-NMF,830,0.1,0.2099148037235647,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
196,Chromscape_LSI,8,0.001,0.0026342726396917,H3K9me3,scCutTagPro_Zhang_2021,10,raw
197,Chromscape_PCA,8,0.001,0.0031912331406551,H3K9me3,scCutTagPro_Zhang_2021,10,raw
198,Signac,8,0.001,0.0029654383429672,H3K9me3,scCutTagPro_Zhang_2021,10,raw
199,SnapATAC,8,0.001,0.0032514450867052,H3K9me3,scCutTagPro_Zhang_2021,10,raw
200,cisTopic,8,0.001,0.0025740606936416,H3K9me3,scCutTagPro_Zhang_2021,10,raw
201,NMF,8,0.001,0.001896676300578,H3K9me3,scCutTagPro_Zhang_2021,10,raw
202,TFIDF-NMF,8,0.001,0.003763246628131,H3K9me3,scCutTagPro_Zhang_2021,10,raw
203,Chromscape_LSI,25,0.003,0.0071628131021194,H3K9me3,scCutTagPro_Zhang_2021,10,raw
204,Chromscape_PCA,25,0.003,0.0079576107899807,H3K9me3,scCutTagPro_Zhang_2021,10,raw
205,Signac,25,0.003,0.0085934489402697,H3K9me3,scCutTagPro_Zhang_2021,10,raw
206,SnapATAC,25,0.003,0.0093208092485549,H3K9me3,scCutTagPro_Zhang_2021,10,raw
207,cisTopic,25,0.003,0.0077215799614643,H3K9me3,scCutTagPro_Zhang_2021,10,raw
208,NMF,25,0.003,0.0068304431599229,H3K9me3,scCutTagPro_Zhang_2021,10,raw
209,TFIDF-NMF,25,0.003,0.0099855491329479,H3K9me3,scCutTagPro_Zhang_2021,10,raw
210,Chromscape_LSI,42,0.005,0.0115262868153041,H3K9me3,scCutTagPro_Zhang_2021,10,raw
211,Chromscape_PCA,42,0.005,0.0124925451876318,H3K9me3,scCutTagPro_Zhang_2021,10,raw
212,Signac,42,0.005,0.0138573492981007,H3K9me3,scCutTagPro_Zhang_2021,10,raw
213,SnapATAC,42,0.005,0.014832209377007,H3K9me3,scCutTagPro_Zhang_2021,10,raw
214,cisTopic,42,0.005,0.0127419946784108,H3K9me3,scCutTagPro_Zhang_2021,10,raw
215,NMF,42,0.005,0.0109040967061198,H3K9me3,scCutTagPro_Zhang_2021,10,raw
216,TFIDF-NMF,42,0.005,0.015993439765116,H3K9me3,scCutTagPro_Zhang_2021,10,raw
217,Chromscape_LSI,83,0.01,0.021140922069782,H3K9me3,scCutTagPro_Zhang_2021,10,raw
218,Chromscape_PCA,83,0.01,0.0230009633911368,H3K9me3,scCutTagPro_Zhang_2021,10,raw
219,Signac,83,0.01,0.0256024096385542,H3K9me3,scCutTagPro_Zhang_2021,10,raw
220,SnapATAC,83,0.01,0.0274929196555006,H3K9me3,scCutTagPro_Zhang_2021,10,raw
221,cisTopic,83,0.01,0.0238482833066369,H3K9me3,scCutTagPro_Zhang_2021,10,raw
222,NMF,83,0.01,0.0201847853843118,H3K9me3,scCutTagPro_Zhang_2021,10,raw
223,TFIDF-NMF,83,0.01,0.0289249483483065,H3K9me3,scCutTagPro_Zhang_2021,10,raw
224,Chromscape_LSI,249,0.03,0.0535833120536094,H3K9me3,scCutTagPro_Zhang_2021,10,raw
225,Chromscape_PCA,249,0.03,0.06187418266515,H3K9me3,scCutTagPro_Zhang_2021,10,raw
226,Signac,249,0.03,0.0674485030681492,H3K9me3,scCutTagPro_Zhang_2021,10,raw
227,SnapATAC,249,0.03,0.0711066810594981,H3K9me3,scCutTagPro_Zhang_2021,10,raw
228,cisTopic,249,0.03,0.0656411774264688,H3K9me3,scCutTagPro_Zhang_2021,10,raw
229,NMF,249,0.03,0.0522760599237025,H3K9me3,scCutTagPro_Zhang_2021,10,raw
230,TFIDF-NMF,249,0.03,0.0718268062616554,H3K9me3,scCutTagPro_Zhang_2021,10,raw
231,Chromscape_LSI,415,0.05,0.0822413933189405,H3K9me3,scCutTagPro_Zhang_2021,10,raw
232,Chromscape_PCA,415,0.05,0.0975253615618543,H3K9me3,scCutTagPro_Zhang_2021,10,raw
233,Signac,415,0.05,0.104407514450867,H3K9me3,scCutTagPro_Zhang_2021,10,raw
234,SnapATAC,415,0.05,0.1100091115908721,H3K9me3,scCutTagPro_Zhang_2021,10,raw
235,cisTopic,415,0.05,0.1038399261787032,H3K9me3,scCutTagPro_Zhang_2021,10,raw
236,NMF,415,0.05,0.0803662627388165,H3K9me3,scCutTagPro_Zhang_2021,10,raw
237,TFIDF-NMF,415,0.05,0.1090445597418576,H3K9me3,scCutTagPro_Zhang_2021,10,raw
238,Chromscape_LSI,830,0.1,0.1451918947466165,H3K9me3,scCutTagPro_Zhang_2021,10,raw
239,Chromscape_PCA,830,0.1,0.1726174930937623,H3K9me3,scCutTagPro_Zhang_2021,10,raw
240,Signac,830,0.1,0.1855115548900805,H3K9me3,scCutTagPro_Zhang_2021,10,raw
241,SnapATAC,830,0.1,0.1941233140655106,H3K9me3,scCutTagPro_Zhang_2021,10,raw
242,cisTopic,830,0.1,0.1901964795598579,H3K9me3,scCutTagPro_Zhang_2021,10,raw
243,NMF,830,0.1,0.1415884636813148,H3K9me3,scCutTagPro_Zhang_2021,10,raw
